Cuisine,percent
Indian,22.47
Chinese,13.87
Fast Food,9.42
Mughlai,5.01
Bakery,4.67
Continental,4.41
Cafe,3.34
Desserts,3.3
Street Food,3.08
Mithai,1.88
Pizza,1.84
Burger,1.54
Ice Cream,0.9
Other,24.27
