Cuisine,percent
Indian,26.08
Chinese,19.71
Fast Food,14.17
Mughlai,6.16
Bakery,5.54
Mithai,3.9
Desserts,3.08
Street Food,3.08
Cafe,3.08
Continental,1.64
Ice Cream,1.44
Burger,1.03
Pizza,1.03
Other,10.06
