Cuisine,percent
Indian,24.48
Chinese,15.38
Fast Food,12.25
Mughlai,5.9
Bakery,4.37
Street Food,3.86
Desserts,3.6
Continental,3.5
Cafe,3.05
Mithai,2.65
Pizza,1.85
Ice Cream,1.39
Burger,0.85
Other,16.87
