Cuisine,percent
Indian,24.44
Fast Food,17.78
Chinese,13.33
Cafe,8.89
Burger,6.67
Desserts,6.67
Ice Cream,4.44
Bakery,4.44
Mughlai,4.44
Mithai,2.22
Pizza,2.22
Street Food,2.22
Continental,2.22
